movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,1937-12,Musical,G,184925485.0,5228953251.0
Pinocchio,1940-02,Adventure,G,84300000.0,2188229052.0
Fantasia,1940-11,Musical,G,83320000.0,2187090808.0
Song of the South,1946-11,Adventure,G,65000000.0,1078510579.0
Cinderella,1950-02,Drama,G,85000000.0,920608730.0
"20,000 Leagues Under the Sea",1954-12,Adventure,,28200000.0,528279994.0
Lady and the Tramp,1955-06,Drama,G,93600000.0,1236035515.0
Sleeping Beauty,1959-01,Drama,,9464608.0,21505832.0
101 Dalmatians,1961-01,Comedy,G,153000000.0,1362870985.0
The Absent Minded Professor,1961-03,Comedy,,25381407.0,310094574.0
Babes in Toyland,1961-12,Musical,G,10218316.0,124841160.0
Bon Voyage!,1962-05,Comedy,Not Rated,9230769.0,109581646.0
The Sword in the Stone,1963-12,Adventure,,22182353.0,153870834.0
The Jungle Book,1967-10,Musical,Not Rated,141843000.0,789612346.0
Blackbeard's Ghost,1968-02,Comedy,,21540050.0,138612686.0
The Aristocats,1970-12,Musical,G,55675257.0,255161499.0
The Boatniks,1970-07,Comedy,,18607492.0,101200742.0
Bedknobs and Broomsticks,1971-10,Musical,,17871174.0,91305448.0
The Apple Dumpling Gang,1975-07,Comedy,,31916500.0,131246872.0
Freaky Friday,1977-01,Comedy,,25942000.0,98067733.0
The Many Adventures of Winnie the Pooh,1977-03,,,0.0,0.0
The Rescuers,1977-06,Adventure,,48775599.0,159743914.0
Herbie Goes to Monte Carlo,1977-06,,,28000000.0,105847527.0
The Black Hole,1979-12,,,35841901.0,120377374.0
Midnight Madness,1980-02,,,2900000.0,9088096.0
The Last Flight of Noah’s Ark,1980-06,,,11000000.0,34472116.0
The Devil and Max Devlin,1981-01,,,16000000.0,48517980.0
Amy,1981-03,Drama,,0.0,0.0
The Fox and the Hound,1981-07,Comedy,,43899231.0,133118889.0
Condorman,1981-08,Action,,0.0,0.0
Night Crossing,1982-02,Drama,,4500000.0,12903059.0
Tron,1982-07,Action,,26918576.0,77184895.0
Tex,1982-11,Drama,,7199408.0,20643199.0
Trenchcoat,1983-03,Comedy,,4304286.0,11519089.0
Something Wicked This Way Comes,1983-04,Horror,,5656087.0,15136765.0
Never Cry Wolf,1983-10,Drama,,27668764.0,70669955.0
Running Brave,1983-11,Drama,,1204595.0,3223725.0
Splash,1984-03,Comedy,PG,62599495.0,157057661.0
Country,1984-09,Drama,,8400000.0,21075000.0
Baby: Secret of the Lost Legend,1985-03,Adventure,,14276095.0,33900697.0
